Model,Accuracy,Precision,Recall,F1-Score,ROC AUC
Multinomial Logistic Regression,0.92,0.9345454545454546,0.92,0.9213333333333333,N/A
SVM,1.0,1.0,1.0,1.0,1.0
Multinomial Naive Bayes,0.76,0.856,0.76,0.7623076923076922,1.0
